feature,importance,rank
cat__model_slt,0,1040
cat__model_sltima,0,1041
cat__model_335is,0,1042
cat__model_solstice,0,1043
cat__model_soltice,0,1044
cat__model_335xi,0,1045
cat__model_sorento,0,1046
cat__model_f7b042,0,1047
cat__model_spectra,0,1048
cat__model_spirit,0,1049
cat__model_340ix,0,1050
cat__model_348,0,1051
cat__model_sportster,0,1052
cat__model_350,0,1053
cat__model_sq5,0,1054
cat__model_srt,0,1055
cat__model_352i,0,1056
cat__model_ss,0,1057
cat__model_ssr,0,1058
cat__model_st,0,1059
cat__model_stanza,0,1060
cat__model_stealth,0,1061
cat__model_step,0,1062
cat__model_stinger,0,1063
cat__model_stratus,0,1064
cat__model_sts,0,1065
cat__model_suburan,0,1066
